NP_code,Model,bins,fpr,tpr
NP45,Shuffled Baseline,0.8,0.8290322580645162,0.7692307692307693
NP45,IEA Cycle-Based Model,0.8,0.8709677419354839,1.0
NP45,FC-Based Model,0.9,0.967741935483871,1.0
NP45,Shuffled Baseline,0.9,0.9564516129032258,1.0
NP45,IEA Cycle-Based Model,0.9,0.9623655913978495,1.0
NP39,FC-Based Model,-0.1,0.0,0.005847953216374269
NP39,Shuffled Baseline,-0.1,0.0,0.0
NP39,IEA Cycle-Based Model,-0.1,0.0,0.0
NP39,Shuffled Baseline,0.0,0.04177885868149049,0.07521677757612422
NP39,FC-Based Model,0.0,0.05709487825356843,0.042606516290726815
NP39,IEA Cycle-Based Model,0.0,0.04534005037783376,0.15024741340530814
NP39,FC-Based Model,0.1,0.1480421341882299,0.18859649122807018
NP39,Shuffled Baseline,0.1,0.15393226980128744,0.16049382716049382
NP39,IEA Cycle-Based Model,0.1,0.15869017632241814,0.34429824561403505
NP39,Shuffled Baseline,0.2,0.24659949622166247,0.23664717348927872
NP39,FC-Based Model,0.2,0.25166691361683213,0.3572411420708634
NP39,IEA Cycle-Based Model,0.2,0.2204030226700252,0.42397660818713445
NP39,FC-Based Model,0.3,0.3564231738035264,0.4491677912730544
NP39,IEA Cycle-Based Model,0.3,0.3648194794290512,0.6267056530214425
NP39,Shuffled Baseline,0.3,0.3443131176128657,0.33513270355375613
NP39,IEA Cycle-Based Model,0.4,0.46263643996641474,0.7387914230019493
NP39,Shuffled Baseline,0.4,0.4560675655652689,0.4011007911936704
NP39,FC-Based Model,0.4,0.44966881238921547,0.5440762399826727
NP39,FC-Based Model,0.5,0.5582493702770781,0.6532651072124757
NP39,Shuffled Baseline,0.5,0.551170818173337,0.49057829759584143
NP39,IEA Cycle-Based Model,0.5,0.5214105793450882,0.7953216374269005
NP39,FC-Based Model,0.6,0.6466204869857263,0.7507309941520468
NP39,Shuffled Baseline,0.6,0.652896725440806,0.5932163742690059
NP39,IEA Cycle-Based Model,0.6,0.6763224181360201,0.8625730994152047
NP39,Shuffled Baseline,0.7,0.7478309543800727,0.730669265756985
NP39,FC-Based Model,0.7,0.7539882451721243,0.8411306042884991
NP39,IEA Cycle-Based Model,0.7,0.7476070528967254,0.8994152046783626
NP39,IEA Cycle-Based Model,0.8,0.8723761544920235,0.9566276803118908
NP39,FC-Based Model,0.8,0.836272040302267,0.9119729147429978
NP39,Shuffled Baseline,0.8,0.8571897930128136,0.8721078057462496
NP39,IEA Cycle-Based Model,0.9,0.9449202350965575,0.9957115009746589
NP39,Shuffled Baseline,0.9,0.9607052896725442,0.9584795321637427
NP39,FC-Based Model,0.9,0.9568010075566751,0.9614035087719298
NP47,FC-Based Model,-0.1,0.0,0.0
NP47,Shuffled Baseline,-0.1,0.0,0.0
NP47,IEA Cycle-Based Model,-0.1,0.0,0.0
NP47,IEA Cycle-Based Model,0.0,0.039941785252263905,0.10416666666666666
NP47,FC-Based Model,0.0,0.06028460543337646,0.26666666666666666
NP47,Shuffled Baseline,0.0,0.00129366106080207,0.0
NP47,FC-Based Model,0.1,0.12160413971539456,0.8333333333333333
NP47,IEA Cycle-Based Model,0.1,0.14091665126593975,0.619047619047619
NP47,Shuffled Baseline,0.1,0.15135834411384216,0.16666666666666666
NP47,IEA Cycle-Based Model,0.2,0.245019404915912,0.6666666666666666
NP47,IEA Cycle-Based Model,0.3,0.35010301375113795,0.6666666666666666
NP47,IEA Cycle-Based Model,0.4,0.4490297542043985,0.8833333333333334
NP47,IEA Cycle-Based Model,0.5,0.558085381630013,1.0
NP47,IEA Cycle-Based Model,0.6,0.6597671410090556,1.0
NP47,IEA Cycle-Based Model,0.7,0.7523932729624838,1.0
NP47,Shuffled Baseline,0.7,0.7800776196636481,0.5
NP47,IEA Cycle-Based Model,0.8,0.8607876958459105,1.0
NP47,Shuffled Baseline,0.8,0.8408796895213454,0.8333333333333333
NP47,FC-Based Model,0.9,1.0,1.0
NP47,IEA Cycle-Based Model,0.9,0.9541771634779055,1.0
NP47,Shuffled Baseline,0.9,1.0,1.0
NP15,IEA Cycle-Based Model,-0.1,0.0,0.01869158878504673
NP15,FC-Based Model,-0.1,0.0,0.03115264797507788
NP15,Shuffled Baseline,-0.1,0.0,0.004672897196261682
NP15,IEA Cycle-Based Model,0.0,0.06944444444444443,0.06074766355140187
NP15,FC-Based Model,0.0,0.0625,0.34813084112149534
NP15,Shuffled Baseline,0.0,0.0625,0.04906542056074766
NP15,IEA Cycle-Based Model,0.1,0.15277777777777776,0.16355140186915887
NP15,FC-Based Model,0.1,0.14583333333333331,0.5116822429906542
NP15,Shuffled Baseline,0.1,0.14583333333333331,0.12149532710280374
NP15,IEA Cycle-Based Model,0.2,0.255952380952381,0.38050734312416556
NP15,Shuffled Baseline,0.2,0.25,0.29439252336448596
NP15,FC-Based Model,0.2,0.22916666666666669,0.5654205607476634
NP15,Shuffled Baseline,0.3,0.35416666666666663,0.4672897196261682
NP15,FC-Based Model,0.3,0.35416666666666663,0.6495327102803738
NP15,IEA Cycle-Based Model,0.3,0.3333333333333333,0.4485981308411215
NP15,FC-Based Model,0.4,0.4583333333333333,0.7196261682242989
NP15,Shuffled Baseline,0.4,0.4583333333333333,0.6510903426791277
NP15,IEA Cycle-Based Model,0.4,0.4444444444444444,0.5389408099688473
NP15,IEA Cycle-Based Model,0.5,0.5833333333333334,0.5934579439252337
NP15,Shuffled Baseline,0.5,0.5416666666666666,0.705607476635514
NP15,FC-Based Model,0.5,0.5625,0.7663551401869159
NP15,Shuffled Baseline,0.6,0.6458333333333333,0.7570093457943925
NP15,FC-Based Model,0.6,0.6458333333333333,0.8247663551401869
NP15,IEA Cycle-Based Model,0.6,0.6458333333333333,0.6261682242990654
NP15,IEA Cycle-Based Model,0.7,0.7916666666666666,0.719626168224299
NP15,FC-Based Model,0.7,0.7708333333333333,0.8831775700934579
NP15,Shuffled Baseline,0.7,0.75,0.8940809968847351
NP15,IEA Cycle-Based Model,0.8,0.8666666666666666,0.8766355140186916
NP15,FC-Based Model,0.8,0.875,0.9252336448598131
NP15,Shuffled Baseline,0.8,0.8541666666666667,0.969626168224299
NP15,FC-Based Model,0.9,0.9791666666666667,0.9742990654205608
NP15,Shuffled Baseline,0.9,0.95,0.9925233644859812
NP15,IEA Cycle-Based Model,0.9,0.95,0.9757009345794392
NP1,FC-Based Model,-0.1,0.0,0.0
NP1,Shuffled Baseline,-0.1,0.0,0.002109704641350211
NP1,IEA Cycle-Based Model,-0.1,0.0,0.0
NP1,Shuffled Baseline,0.0,0.053482221569203646,0.06020376659462797
NP1,FC-Based Model,0.0,0.04793533106786119,0.059720869847452125
NP1,IEA Cycle-Based Model,0.0,0.04654983570646221,0.08707326428845417
NP1,IEA Cycle-Based Model,0.1,0.15729585006693442,0.2739803094233474
NP1,Shuffled Baseline,0.1,0.15547905909351695,0.14366083986337153
NP1,FC-Based Model,0.1,0.14363007585899154,0.17416783872480077
NP1,Shuffled Baseline,0.2,0.252710843373494,0.20928270042194094
NP1,IEA Cycle-Based Model,0.2,0.2561675272518646,0.41531042796865586
NP1,FC-Based Model,0.2,0.2476572958500669,0.30239099859353025
NP1,FC-Based Model,0.3,0.34682479919678716,0.41337025316455694
NP1,IEA Cycle-Based Model,0.3,0.3688085676037483,0.46835443037974683
NP1,Shuffled Baseline,0.3,0.3546630968317715,0.34842944210032817
NP1,IEA Cycle-Based Model,0.4,0.4350736278447122,0.561181434599156
NP1,FC-Based Model,0.4,0.4516487000634115,0.5126582278481012
NP1,Shuffled Baseline,0.4,0.4550092260935634,0.44292393659482265
NP1,IEA Cycle-Based Model,0.5,0.5775100401606426,0.6320675105485233
NP1,Shuffled Baseline,0.5,0.5474249940940232,0.5287912633407794
NP1,FC-Based Model,0.5,0.5503951289027076,0.6150809854362325
NP1,Shuffled Baseline,0.6,0.6443013433042515,0.6102138804015713
NP1,IEA Cycle-Based Model,0.6,0.6631526104417671,0.6814345991561181
NP1,FC-Based Model,0.6,0.6439712337722985,0.7533117456579334
NP1,IEA Cycle-Based Model,0.7,0.768239625167336,0.7563291139240507
NP1,Shuffled Baseline,0.7,0.7528781793842035,0.7175808720112518
NP1,FC-Based Model,0.7,0.746318607764391,0.8578186932617312
